"IMG_ANL_GROUP_CD","IMG_ANL_ITEM_CD","DISPLAY_ORDER","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG","COORDINATION_FLG","INDEX_NO","SUPPLEMENTARY_INFO_FLG","DELETE_FLG"
"0000000003","0000000001",1,2023/09/20 10:16:47,"807011","AnlGroupInput",2023/09/20 10:16:47,"807011","AnlGroupInput","0",,"0","0"
"0000000003","0000000002",2,2023/09/20 10:16:47,"807011","AnlGroupInput",2023/09/20 10:16:47,"807011","AnlGroupInput","0",,"0","0"
"0000000004","0000000001",1,2023/09/12 12:50:22,"807011","AnlGroupInput",2023/09/12 12:50:22,"807011","AnlGroupInput","0",,"0","0"
"0000000005","0000000001",1,2023/09/13 13:11:15,"807011","AnlGroupInput",2023/09/13 13:11:49,"807011","AnlGroupInput","0",111,"0","1"
"0000000005","0000000002",1,2023/09/13 13:11:15,"807011","AnlGroupInput",2023/09/13 13:11:49,"807011","AnlGroupInput","0",111,"0","1"
"0000000005","0000000003",1,2023/09/13 13:12:39,"807011","AnlGroupInput",2023/09/13 13:13:00,"807011","AnlGroupInput","0",222,"0","1"
"0000000010","0000000001",1,2023/09/12 14:04:26,"807011","AnlGroupInput",2023/09/12 14:04:26,"807011","AnlGroupInput","0",1,"0","0"
"0000000010","0000000002",2,2023/09/12 14:04:27,"807011","AnlGroupInput",2023/09/12 14:04:27,"807011","AnlGroupInput","0",1,"0","0"
"0000000010","0000000003",3,2023/09/12 14:04:27,"807011","AnlGroupInput",2023/09/12 14:04:27,"807011","AnlGroupInput","0",1,"0","0"
"0000000017","0000000001",1,2023/09/12 11:44:24,"807011","AnlGroupInput",2023/09/12 11:44:24,"807011","AnlGroupInput","0",,"0","0"
"0000000017","0000000002",2,2023/09/12 11:44:24,"807011","AnlGroupInput",2023/09/12 11:44:24,"807011","AnlGroupInput","0",,"0","0"
"0000000076","0000000001",1,2023/09/19 10:51:37,"807011","AnlGroupInput",2023/09/19 10:52:33,"807011","AnlGroupInput","0",,"0","1"
"0000000076","0000000002",1,2023/09/19 10:52:03,"807011","AnlGroupInput",2023/09/19 10:52:38,"807011","AnlGroupInput","0",888,"0","0"
