"MODEL_CD","COUNTRY_CD","NEW_COUNTRY_SGN","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG"
"1J80125001","310","1",2019/03/08 4:31:14,,"PLAN_S_P_MM982T",2019/03/08 4:31:14,,"PLAN_S_P_MM982T"
"1J80200000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80200000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80200000","270","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80200000","272","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80218051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80300000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80300001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2020/03/26 4:30:48,,"PLAN_S_P_MM983T"
"1J80310000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80310001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80311000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80311001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80312000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80312001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2019/08/27 4:31:23,,"PLAN_S_P_MM983T"
"1J80313000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80313001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80400000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80400000","270","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80418051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80500000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80500000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80500000","210","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80500000","270","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80518051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80600000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80600001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80610000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80610001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80611000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80611001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2017/06/16 4:31:12,,"PLAN_S_P_MM983T"
"1J80612000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80612001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80613000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80613001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2017/03/17 4:31:12,,"PLAN_S_P_MM983T"
"1J80614000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80614001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2019/05/23 13:15:54,,"PLAN_S_P_MM983T"
"1J80615000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80615001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2017/07/22 4:31:20,,"PLAN_S_P_MM983T"
"1J80700000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80700000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80700000","270","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80700000","380","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80718051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80800000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80800000","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80800000","272","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80800000","274","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80800000","390","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80818051","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J80918031","   ","1",2018/12/22 4:31:13,,"PLAN_S_P_MM982T",2018/12/22 4:31:13,,"PLAN_S_P_MM982T"
"1J80918031","310","1",2019/03/08 4:31:14,,"PLAN_S_P_MM982T",2019/03/08 4:31:14,,"PLAN_S_P_MM982T"
"1J81000000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81000001","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2019/04/24 4:31:16,,"PLAN_S_P_MM983T"
"1J81000001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81010000","   ","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81010001","   ","1",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
"1J81010001","110","0",2016/11/05 8:26:54,,"PLAN_S_P_MM982T",2016/11/05 8:26:54,,"PLAN_S_P_MM982T"
