"MS_STATION","MS_LINE","MS_KOTEI","MS_ST_NAME","MS_SIJI_LVL","MS_KOTEI_SEQ","MS_PATURN","MS_KATA_KBN","MS_D_SERV","MS_D_TUKINO","MS_D_YOKUSI","MS_D_GATUDO","MS_D_RENBAN","MS_D_EDABAN","MS_D_IDNO","MS_D_YMD","MS_D_END","MS_U_SERV","MS_U_TUKINO","MS_U_YOKUSI","MS_U_GATUDO","MS_U_RENBAN","MS_U_EDABAN","MS_U_IDNO","MS_U_YMD","MS_U_END","MS_H_SERV","MS_H_TUKINO","MS_H_YOKUSI","MS_H_GATUDO","MS_H_RENBAN","MS_H_EDABAN","MS_H_IDNO","MS_H_YMD","MS_H_END","MS_U2_SERV","MS_U2_TUKINO","MS_U2_YOKUSI","MS_U2_GATUDO","MS_U2_RENBAN","MS_U2_EDABAN","MS_U2_IDNO","MS_U2_YMD","MS_U2_END","MS_PROC_FLG","MS_PROC_CODE","MS_PRE_STATION","MS_PASS","MS_PICK","MS_GROUP_C","MS_KIND","MS_KIND_NAME","MS_OUTSIDE","MS_INS_YMD","MS_UPD_YMD"
"209230","002090","ﾈｰﾑ","HM:ﾈｰﾑﾌﾟﾚｰﾄ","2",1,"30","2","作業指示サーバ","20201002982",1,"202010",2982,0,"2867587",2020/10/13 0:00:00,"0","作業指示サーバ","20201002985","1","202010",2985,0,2867672,2020/10/13 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2011/04/12 0:00:00," ","MP5600","           ","1"," ",0,0,0,2011/04/12 0:00:00," ",0,"MS_C350N","214011",289,34,"          ","2","NEWPICK","0",2017/11/02 0:00:00,2020/10/13 0:00:00
"209300","002090","NFCﾀｸﾞ","HM:NFCﾀｸﾞ書込み","2",1,"30","2","作業指示サーバ","20201002982",1,"202010",2982,0,"2867587",2020/10/13 0:00:00,"0","作業指示サーバ","20201002981","1","202010",2981,0,2867782,2020/10/13 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2014/09/23 0:00:00," ","MP5600","           ","1"," ",0,0,0,2014/09/23 0:00:00," ",0,"MS_C350N","214011",287,287,"          ","1","設備制御","0",2017/11/02 0:00:00,2020/10/13 0:00:00
"224215","002190","PTO","GS:PTOｽﾊﾟｲﾗﾙPick","1",1,"30","2","作業指示サーバ","20201004523",0,"202010",4523,0,"2868955",2020/10/14 0:00:00,"0","作業指示サーバ","20201003006","1","202010",3006,0,2867924,2020/10/13 0:00:00,"0","基幹サーバ"," ","1","999999",0,0,9999999,1996/04/17 0:00:00,"0"," "," "," ","      ",0,0,0,2010/04/09 0:00:00," ",0,"MS_C300C"," ",296,296,"NONGROUP  ","2","NEWPICK","0",2016/04/15 0:00:00,2020/10/14 0:00:00
"999315","037592","ｺﾓﾉｻﾌﾞ","出島:小物P-2","2",1,"30","2","作業指示サーバ","20171001676",0,"201710",1676,0,"2653642",2017/10/11 0:00:00,"0","作業指示サーバ"," ","1"," ",0,0,9999999,2005/12/20 0:00:00,"0","基幹サーバ"," ","1","999999",0,0,9999999,2005/12/20 0:00:00,"0"," "," "," ","      ",0,0,0,2007/07/10 0:00:00," ",1," "," ",0,0,"NONGROUP","2","NEWPICK","1",2016/07/20 0:00:00,2017/10/11 0:00:00
"999604","037592","DPF-A","出島:DPF型式機番A","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2012/02/02 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2012/02/02 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2012/02/02 0:00:00," ","MP5600","           ","1"," ",0,0,0,2012/02/02 0:00:00," ",1," ",,0,0,"          ","3","指示書発行","0",2016/05/10 0:00:00,2016/05/10 0:00:00
"224502","002190","F41","GS:MR順序表中止","1",1,"30","2","作業指示サーバ","99999900000",1,"999999",0,0,"9999999",1996/10/16 0:00:00,"0","作業指示サーバ","99999900000","1","999999",0,0,9999999,1996/10/16 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1996/10/16 0:00:00,"0"," "," "," ","      ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"MS-01     ","3","指示書発行","0",2016/06/07 0:00:00,2020/06/30 0:00:00
"224507","002190","HST","GS:HI-LOｱｯｼ順序表","1",1,"30","2","作業指示サーバ","99999900000",1,"999999",0,0,"9999999",1999/12/31 0:00:00,"0","作業指示サーバ","99999900000","1","999999",0,0,9999999,1999/12/31 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1999/12/31 0:00:00,"0"," "," "," ","      ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"NONGROUP  ","3","指示書発行","0",2016/06/07 0:00:00,2018/08/20 0:00:00
"208755","002080","ｶｸS","HP:作業指示28L","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208760","002080","ｶｸS","HP:作業指示30R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
"208764","002080","ｶｸS","HP:作業指示32R","2",1,"30","2","作業指示サーバ","           ",1,"      ",0,0,"       ",2016/06/07 0:00:00," ","作業指示サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2016/06/07 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/06/07 0:00:00," ",1,,,0,0,"          ","5","ポカヨケ","0",2016/06/07 0:00:00,2016/06/08 0:00:00
